Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
080823D12,15.805788853772082,-9.305138311609866,4.86072273589452,-7.869179843238214,-6.722303135865029,-16.396127674712275,-3.442141734014876,2.6745170555453055,8.594972748360684,-1.16044234138186,-22.819712714329004,28.725205896698895,-14.188908401695201,-5.203008993177866,2.6261609677724036,4.151979609812702,-7.035556840186188,-0.903461573931728,1.0677733628547215
080823D13,13.326037959714867,-11.592554231555114,6.452422140540887,2.9540779445750203,-5.361423480530791,-10.687350832299131,-2.145547184142274,0.2901900143574265,10.269573990237765,-6.031691214574761,-4.447508403760001,-1.1773154797798304,2.534898275597393,1.8182357185491989,-14.68954383022173,-3.215114049133605,25.8920091034653,5.835100427855752,-2.1218080196653237
102723B06,-11.260927847397014,0.6063633757952003,-8.206751694769201,-1.0896684532314282,0.05964839723793452,-1.9659082092779583,15.49471460279471,0.09948902542696246,-1.9800373131832636,4.548570736173341,-1.288460544297452,-1.0859418722904606,3.7262189201005143,-3.645848295792434,-0.40047696767416047,27.557989580374013,2.426057375666985,1.678436416682505,-2.8996604309864997
102723D07,-1.7582286411491392,10.12006883352527,5.968439346610654,-12.931315016080395,-21.8247469717278,5.97129268227437,-0.010453730853325623,45.23830033300742,-16.709192138759374,-6.513370309592851,1.4533859577636952,2.1453775882606023,4.937719752425458,1.927087448739488,0.8175166001572937,-1.6711281901775463,1.0488796990130618,0.40380543909610983,-0.839835034853182
110323B1,-7.653542175599827,1.972428727150024,-4.067829877782822,-9.475329460235685,-7.103603308899047,6.949684628861404,-0.7886616166822653,-14.55944647211889,2.5279447566456175,-15.472580972249908,-2.5445632748132403,8.859574739115194,21.157036217730052,2.943188544776645,11.552689025076418,-4.271697790608318,-4.046678718548497,-0.4335304398151904,-12.99559664761417
111423C1,-9.364972505975734,1.8892186526960382,-2.4273920044388437,-2.211946296060401,-1.3885964568807905,-3.3207009551026077,-5.3864114751642465,-5.279367672868139,-7.790174958454191,-6.903656182176558,0.6311987744566301,1.8412782507325418,0.6252650583862337,-1.0869452176301622,-2.2051401593993605,-1.8230891217901093,1.5027449985711783,0.046827324009913955,-0.2622328371660133
111423C2,-9.078446063257953,3.4311002967424113,-1.6892343327320711,-0.6799752881200087,0.6980385844733901,-3.344002098694974,-8.452066382672008,-5.755083035122381,-8.098824937934639,-5.9138837550582055,-0.26570574006653497,0.7368039540184079,-1.4519058165962506,-1.2019581955703882,-6.448316239735051,-2.4245537586669785,1.99982223893163,-0.09377334276672701,-0.943973115287252
111623BN11,-10.294867417558661,-0.41852809114772954,-4.808227033563404,-4.09131434444433,-3.3770494308818226,-5.554868691372143,-0.14362981747807096,-3.7831161240479068,-3.3348435314950415,-6.071782915921937,3.5127196278407418,-0.14681276636244828,-1.5293641977266204,-0.5407948792948805,3.6210797539981274,0.8846571886678101,0.9504321669603092,-0.3682851765292274,4.180694061585381
111623BN14,-11.810968391409215,0.08221337440825163,-10.118868464136055,-0.3593220021341082,4.59663732482395,-1.6471640906847158,16.37261974540443,1.1518020589868523,1.5671743846293131,1.3304976526945027,0.4225076135961895,-0.3307767501979173,-3.249091398539833,6.720212043568384,1.740096222891773,1.7932461841186986,3.998727214996788,5.962744217767417,18.92621981018145
111623CN02,-11.361054744348015,1.8302113778633242,-4.96747926752168,0.9447832897048567,4.102071925710001,-2.1076844797925385,-8.334641286761041,-3.6296219500442795,-5.672656992688946,-4.2256857530099605,-2.9738629451565655,-0.7658102911065032,1.9044590018949232,-1.76905975803224,-3.8657949194803427,-1.0380796279343139,0.16494284997629635,1.0747788541405079,-0.5527567080864965
111623CN05,-9.961387049520123,-2.1626160173146456,-14.212857818654948,0.7846606022750396,9.109650409170367,-1.540333824289415,26.924567327854714,5.391992449367097,3.1290424599995585,9.57603408927939,-11.176607732766428,-2.226571498687289,-0.4672754422753189,-1.347095030694201,-0.407990485380851,-16.082746511805677,-2.327046585965118,-4.259417772269392,-8.819045376232957
111623DN06,-7.325370227453783,8.699888925953605,5.889936993785464,-16.358233611884962,-22.14692611504782,15.836167925279016,-1.6344697917923758,-9.570965869792364,12.919721517183946,5.922679629184677,-2.6685572418120724,-3.026741246949012,-1.9499366670467673,1.5699021274277758,-1.8155321962804365,-12.216703443313072,-1.646308743548816,-8.158836916226642,16.574086285970225
111623DN09,-6.628748798089565,11.332548652020604,8.364967359370993,-14.381003929173115,-24.14964770595431,24.04826517684036,-0.46684010326739817,-8.024152412719834,13.776544440109449,13.589010352702193,-1.7364641035586355,-5.088093502381041,-5.894793082215121,-2.8900481025779268,-2.326396414723255,8.918686658002372,2.453602804992508,7.137285303341955,-11.51845721486228
111623DN10,-10.589056894144198,-0.7693956533205081,-13.15709716746908,-1.2874513921923474,5.034891365321471,-3.5460373695755494,24.48716015044314,2.9531714830967224,0.16929795037849124,8.239800505724146,-4.734625258799137,-2.897692503461506,1.208268675738562,-4.205166971689501,-3.3710453049978724,-3.9088333062919167,0.13604204757357588,-1.2471368448109625,-3.5070891986723853
112823BN05,-9.682102458258425,2.906208966386033,-5.697186269443551,-4.066484463560793,3.26318795223604,-2.861355458998567,3.7343647943912472,-4.075956411829377,-1.1886574453918923,-3.3433155129612797,3.9901421771426895,4.814777893674831,10.347118569883875,-5.4974811713453375,-0.8256838876978084,4.8291383810599795,-2.215618044412022,-0.5570708807435057,4.171241649005887
112823CN02,-10.948474192025643,3.0094575345493277,-7.530107210940384,-4.850375363859853,-1.3487492235774075,-4.524867632681298,3.0318939360736734,-6.154764310793375,-3.92280251914017,-7.202236394971842,5.354633300368731,2.5239610686879512,4.505345435356094,-1.3218859919254833,0.9363000590864786,3.0369334874377616,2.64417273178235,-1.2028339382863558,8.348153707873196
112823DN08,-11.156591299311911,1.3959677707565403,-5.440794257011205,-4.310464048252864,-1.1441776715290348,-2.3947394034358944,-3.8599534759632865,-7.003529078730574,-3.9611137443680984,-11.36194707457823,1.4765306148545316,3.386106538035857,2.025413365420324,5.234312140269366,2.195325394327371,-0.4827600965652657,1.3877444157763434,-0.14008372633615812,2.3116268665389077
120123C04,-12.48859535616615,-2.3853876975888655,-7.415389023396984,8.643295374427966,20.3276760772204,11.793408336023031,-19.039815291265704,12.446796018892018,12.86458430013202,4.629603292848259,-14.938390507953873,-6.833621659642631,2.045867478408411,5.893751754284045,21.31468126618997,2.947532428833928,9.604810807486574,-1.444090833137856,3.2851298671021376
121923BN07,-13.579473025396185,2.064867787727238,-4.631555841912631,0.09919292770057593,4.0357877698834255,0.2337698883602281,-1.8929948994318546,-1.8880140645710624,-3.304254026541895,-6.301431122081866,1.6033853693711817,-2.5188755524742064,-19.047438692304432,31.79368235642427,-6.664505713086127,3.0571000067767597,-4.290786398988818,-5.666937644254243,-9.102646914506694
122923C09,-13.864857527497053,-1.0311000240959973,-8.114466234277469,4.381025662128718,16.963779191460134,6.287853608395369,-7.576001451713396,14.733145841961607,28.893216855441135,-2.1399708229986625,24.038331556216406,14.302531007751124,-0.45014462410555045,-6.376318353355794,-9.746660242934817,-1.691619126055422,-4.067237859716576,-2.2923159433986857,-3.1294624893507197
